User Value New,User Value Original,Learning Resource Value New,Learning Resource Value Original
0,S002,0,nearestBusStop
1,S011,1,backwardsCombine
2,S014,2,firstAndLast
3,S020,3,singlePigLatin
4,S023,4,hasTwoDigits
5,S034,5,isEvenPositiveInt
6,S045,6,isSubstring
7,S049,7,helloWorld
8,S053,8,doubleX
9,S054,9,raiseToPower
10,S057,10,convertToDegrees
11,S058,11,isPunctuation
12,S062,12,findRoot
13,S065,13,leftoverCandy
14,S072,14,intToFloat
15,S074,15,howManyEggCartons
16,S082,16,kthDigit
17,S085,17,overNineThousand
18,S089,18,canDrinkAlcohol
19,S107,19,oneToN
20,S110,20,sumOfDigits
21,S112,21,carefulSquareRoot
22,S117,22,createNumberBlock
23,S127,23,castString
24,S132,24,stockChange
25,S139,25,anyLowercase
26,S148,26,isPrime
27,S150,27,middleElement
28,S170,28,reduceToPositive
29,S175,29,secondHalf
30,S180,30,treasureHunt
31,S181,31,mostAnagrams
32,S182,32,factorial
33,S187,33,fibonacci
34,S194,34,gcd
35,S198,35,listOfLists
36,S201,36,friendOfFriends
37,S207,37,findTheCircle
38,S211,,
39,S307,,
40,S331,,
41,S334,,
42,S347,,
43,S372,,
44,S374,,
45,S377,,
46,S378,,
47,S397,,
48,S399,,
49,S412,,
50,S430,,
51,S444,,
52,S454,,
53,S455,,
54,S457,,
55,S467,,
56,S469,,
57,S481,,
58,S496,,
59,S508,,
60,S510,,
61,S523,,
62,S534,,
63,S535,,
64,S537,,
65,S539,,
66,S540,,
67,S546,,
68,S586,,
69,S587,,
70,S588,,
71,S592,,
72,S602,,
73,S608,,
74,S642,,
75,S652,,
76,S654,,
77,S658,,
78,S659,,
79,S665,,
80,S683,,
81,S693,,
82,S707,,
83,S720,,
84,S749,,
85,S761,,
86,S763,,
87,S773,,
88,SA,,
