Topic Value New,Topic Value Original,User Value New,User Value Original,Learning Resource Value New,Learning Resource Value Original
0,439,0,00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,0,1
1,487,1,014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,1,3
2,492,2,01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,2,5
3,494,3,03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,3,12
4,502,4,0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,4,13
,,5,048fce7bd5670d2ce6215f41856aea059973fb280ce1067c7896d7e982dce89a,5,232
,,6,04ed28ab2b2a010c686bf190a5f001dfdc7d9ec41859048d64d141b976f46d31,6,233
,,7,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,7,234
,,8,072db31ce670255297c5d67fd00068faf81a7f50223b5a5af0f555aa69815fe0,8,235
,,9,07445b2803cfbba249af9f27deaabc1c2aa5fd49745cd11637d45d1e8f939c2b,9,236
,,10,07c8b5fb98feb87d3ee0c873b94852d521cf159de84010db6455466d6e6b52cf,10,17
,,11,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,11,20
,,12,08f436c2b6962c5a4e083d443715d94da0d3a54c21d025783f5da882205b521a,12,21
,,13,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,13,22
,,14,091dc109aa58c7a670f4b61bc23df548fec73c05c7582dfb7c51f3a925d3618f,14,24
,,15,092f648c8f4deefbd5a15a17825410afefdde05a559fea8c487245797e3f3b27,15,25
,,16,0971feccb4757660518949d4320c4ef50975fc055f4083ae75dc9a362f5d8a46,16,28
,,17,0973288c77f97c9245c444f90526bc6137bc40b48200197fd5bb6134f618f165,17,100
,,18,097f7a6103e61039a9dadac5e7d7eb65aa451121de8b30ad2a147c5aafb440c7,18,101
,,19,098d08de95d38eeec0842ad11e1e98d03c5afff456588f8ec0e9b2842aae39a3,19,102
,,20,09db7ba4c23b61069909ed92ec0cb34ff8e34868badc0a1a6bfdf336ce989511,20,31
,,21,0abe1b008e37697d60391129deac748704d6105881949c60dff38453777ffb43,21,32
,,22,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,22,33
,,23,0bbbf3e0b4f05fd3d09b737b923eaed3066fd9b00f5b6a037b3a6ab360dad66c,23,34
,,24,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,24,36
,,25,0d38364f7e61ffa23af02082de12cb8c5786cddea6f83ae2156aa0cb41ec5509,25,37
,,26,0d4ffc8959a9277ed564ffa0be4fa178fc778a551acea42c7b477a06545e5764,26,38
,,27,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,27,39
,,28,109c6e9ad83923fec425f5948621a620bad8efb25d507dbead8bcfa627bc55e6,28,40
,,29,10e19a731f11c88176364d6ac435b630c522b5acbb234bb07adccf8efd540b9c,29,128
,,30,117a01c81c6ec62f7b6d2b97ea41f349a1f2b57f713e3065c1576abab742ea46,30,41
,,31,11d2c55502f841ac3d2c5c9d23348319d368e166d76af06498da4c4bd5ef7e83,31,43
