Topic Value New,Topic Value Original,User Value New,User Value Original,Learning Resource Value New,Learning Resource Value Original
0,"Unit ES_04, Section ES_04-1",0,0BrbPbwCMz,0,EG4-FIXED
1,"Unit ES_04, Section ES_04-2",1,19UbXBlPPK,1,EG40
2,"Unit ES_04, Section ES_04-3",2,2oNLCndtam,2,EG54
3,"Unit ES_04, Section ES_04-4",3,46z59pQP58,3,EG55A
4,"Unit ES_04, Section ES_04-5",4,52vEY7f17k,4,EG55
5,"Unit ES_04, Section ES_04-6",5,5ey2xUDZTA,5,EG56
6,"Unit ES_04, Section ES_04-7",6,6W08a98ZQV,6,EG56A
7,"Unit ES_04, Section ES_04-8",7,8o0mJnIpFH,7,EG57A
8,"Unit ES_04, Section ES_04-9",8,8rsfNQdio8,8,EG57
9,"Unit ES_04, Section ES_04-10",9,9hs21hUG5O,9,EG58A
10,"Unit ES_04, Section ES_04-11",10,b2W4ZO3uLV,10,EG58
11,"Unit ES_04, Section ES_04-12",11,g209g5Vve6,11,LIT20
12,"Unit ES_04, Section ES_04-13",12,iyLqACAFyl,12,LIT28
13,"Unit ES_04, Section ES_04-14",13,l8kuAhlIWI,13,LIT31
14,"Unit ES_04, Section ES_04-15",14,QER9PsCgBT,14,LIT29
15,"Unit CTA1_10, Section CTA1_10-1",15,Ugr5eIIEf0,15,LIT27
16,"Unit CTA1_10, Section CTA1_10-2",16,XqBaV46VbC,16,LIT34
17,"Unit CTA1_10, Section CTA1_10-3",17,y8BlGe62E7,17,LIT33
18,"Unit CTA1_10, Section CTA1_10-4",18,yDO9pl8GC0,18,LIT32
19,"Unit CTA1_10, Section CTA1_10-5",19,0jSb6S70X1,19,LIT25
20,"Unit ES_07, Section ES_07-1",20,1to8tgu4IT,20,LIT25A
21,"Unit ES_07, Section ES_07-2",21,5LMy832c47,21,LIT37A
22,"Unit CTA1_01, Section CTA1_01-1",22,668lBbaKFE,22,LIT19A
23,"Unit CTA1_01, Section CTA1_01-2",23,6Ax4SKe470,23,LIT29A
24,"Unit CTA1_12, Section CTA1_12-1",24,6O31vedZbI,24,LIT36A
25,"Unit CTA1_12, Section CTA1_12-2",25,7oiAa7MlW2,25,LIT34A
26,"Unit CTA1_12, Section CTA1_12-3",26,879eYkR2Wu,26,LIT33A
27,"Unit CTA1_12, Section CTA1_12-4",27,8ZPoEJbXB7,27,LIT28A
28,"Unit ES_05, Section ES_05-1",28,9493h91NUB,28,LIT27A
29,"Unit ES_05, Section ES_05-2",29,AQfVkV1aEx,29,LIT30A
30,"Unit ES_05, Section ES_05-3",30,C18qWKq212,30,LIT54
31,"Unit ES_05, Section ES_05-4",31,F25axtfCKG,31,LIT58
32,"Unit ES_05, Section ES_05-5",32,PpTLi2Qz8E,32,LIT56
33,"Unit ES_05, Section ES_05-6",33,tB4vqSxzqo,33,LIT57
34,"Unit ES_05, Section ES_05-7",34,XNEgfvXx50,34,LIT60
35,"Unit ES_05, Section ES_05-8",35,0w3IAZa8rQ,35,LIT55
36,"Unit CTA1_14, Section CTA1_14-1",36,3hSu07XfGd,36,LDEMO_DIST_SP
37,"Unit CTA1_14, Section CTA1_14-2",37,6bJ4auIa8L,37,DIST06_SP
38,"Unit CTA1_14, Section CTA1_14-3",38,CaA0123UJL,38,DIST10_SP
39,"Unit CTA1_14, Section CTA1_14-4",39,ey9rvMnU57,39,REAL18_SP
